ID,Disease Domain,News Title,News Snippet,Source Domain,Label
DM016,Diabetic Nephropathy,Study Highlights Correlation Between Poor Glycemic Control and Microvascular Complications,"A study of 50 patients with type 2 diabetes at a tertiary hospital in India found that poor glycemic control is significantly correlated with higher rates of peripheral neuropathy, retinopathy, and nephropathy. ",nih.gov,Real
DM017,Diabetic Neuropathy,Autonomic Neuropathy Found in 78% of Type 2 Diabetes Patients,"A cross-sectional study of patients with type 2 diabetes found that 78% of participants tested positive for autonomic neuropathy, which was associated with elevated HbA1c levels. ",nih.gov,Real
DM018,Diabetes,Average HbA1c of 9.7% Found in Tertiary Care Diabetes Patients,"A study in a tertiary care facility found an average HbA1c level of 9.7% among patients with type 2 diabetes, with peripheral neuropathy observed in 60.3%, retinopathy in 48.1%, and nephropathy in 44.8% of participants. ",nih.gov,Real
DM019,Diabetes,Proactive Lipid Management Essential for Cardiovascular Risk Reduction in Diabetes,"Suboptimal HDL levels were identified in most participants with type 2 diabetes, aligning with heightened cardiovascular risk and highlighting the need for proactive management of lipid abnormalities. ",nih.gov,Real
DM020,Diabetes,CGM Interfaces Need Improved Design for Better Treatment Decisions,"Research shows that people with T1DM frequently misinterpret glucose monitoring interfaces, leading to inappropriate treatment decisions, underscoring the need for more intuitive and interpretable designs. ",nature.com,Real
DM021,Diabetes,"Researchers Advocate for Broader, More Diverse Diabetes Datasets","The creators of the DiaTrend dataset acknowledge limitations in demographic representation and data synchronization, emphasizing their commitment to expanding the dataset to reflect a more diverse population. ",diabetes.emory.edu,Real
DM022,Diabetic Retinopathy,Long-term Study Reveals High Rates of Progression from NPDR to PDR,"Up to 11% of patients with nonproliferative diabetic retinopathy may progress to proliferative diabetic retinopathy within 10 years, highlighting the need for early identification of risk factors. ",sciencedirect.com,Real
DM023,Diabetes,Financial Burden of Diabetes Care in NHS Exceeds 10% of Annual Budget,"Nearly 10% of the annual budget of the National Health Service in England and Wales is allocated to diabetes care, underscoring the substantial financial burden of the condition. ",nature.com,Real
DM024,Diabetes,Dataset Offers Insight into Real-World Glycemic Variability and Lifestyle Factors,"A new 12-week dataset captures sustained patterns in blood glucose levels alongside relevant lifestyle factors, providing a valuable resource for exploring how real-world behaviors relate to glucose trends. ",nature.com,Real
DM025,Diabetes,Study Emphasizes the Critical Need for Open Diabetes Datasets,"The DiaTrend dataset was created in response to a critical need for high-quality, open datasets in the diabetes space, aiming to support a new wave of collaborative, reproducible research. ",diabetes.emory.edu,Real
DM026,Diabetes,Combined Lifestyle Interventions Most Effective for Reversing Neuropathy,A study found that combined ketogenic diet and exercise was the only intervention to improve all measured endpoints of metabolic syndrome and peripheral neuropathy in a mouse model. ,diabetesjournals.org,Real
DM027,Diabetic Retinopathy,Diabetic Retinopathy Affects Nearly One-Third of People with Diabetes Globally,"Diabetic retinopathy is a leading cause of vision impairment and blindness among adults with type 2 diabetes, affecting nearly one-third of individuals with diabetes globally. ",sciencedirect.com,Real
DM028,Diabetes,Dietary and Behavioral Changes Key to Reversing Metabolic Syndrome Neuropathy,"Research demonstrates that lifestyle modifications, including dietary changes and exercise, are highly effective at reversing peripheral neuropathy caused by metabolic syndrome. ",diabetesjournals.org,Real
DM029,Diabetes,Researchers Call for More Granular Nutritional Data in Diabetes Studies,"A new T1D dataset expands on common nutritional information by including carbohydrate, fat, protein, and fiber content, allowing for a more nuanced understanding of macronutrient impact on blood glucose. ",nature.com,Real
DM030,Diabetes,AI-READI Dataset Includes 3.87 TB of Data for Type 2 Diabetes Research,"The AI-READI project's Year 3 data release includes 358,999 files of data, making it a rich resource for researchers looking to generate new insights into Type 2 Diabetes. ",dknet.org,Real
DM031,Diabetes,Smartwatch Data Provides In-depth Insight into Activity-Related Glucose Variability,"A new dataset uses Garmin Forerunner 45 to capture detailed activity data, including step count, calories burned, METs, and motion intensity, allowing for better understanding of activity-related glucose variability. ",nature.com,Real
DM032,Diabetes,Researchers Address Data Gaps in Diabetes Technology Access,"A new longitudinal dataset aims to advance algorithm development for diabetes management in settings where automated insulin delivery systems are less accessible, particularly in low- and middle-income countries. ",nature.com,Real
DM033,Diabetes,Longitudinal Data Collection Over 12 Weeks Provides Clinically Relevant Insights,"A 12-week data window meets most regulatory requirements in treatment evaluation, allowing researchers to draw meaningful comparisons of interventions and their sustained effects on blood glucose management. ",nature.com,Real
DM034,Diabetic Retinopathy,Patient Characteristics and Comorbidities in NPDR,"Analysis of the baseline characteristics of 135,172 NPDR patients reveals mean age of 61.6 years, with 51% White, 23% Black, 13% Hispanic, and 8% Asian. ",sciencedirect.com,Real
DM035,Diabetes,Glucose-ML Collection Aims to Accelerate Data-Driven Diabetes Research,"A collection of 10 public diabetes datasets comprising glucose data from people with type 1, type 2, and prediabetes is now available to support collaborative data-driven research. ",diabetes.emory.edu,Real
DM036,Diabetic Nephropathy,Masld Not Associated with Increased Chronic Kidney Disease Risk in Primary Care,The EPSOMIP study found no significant differences in chronic kidney disease prevalence between participants with and without MASLD in a primary care setting. ,nih.gov,Real
DM037,Diabetic Neuropathy,Severe and Disabling Neuropathy Affects Up to 40% of Type 2 Diabetes Patients,"Diabetic peripheral neuropathy is the most common complication of patients with diabetes, occurring in up to 40% of patients with type 2 diabetes mellitus. ",diabetesjournals.org,Real
DM038,Diabetes,NIH Study Examines Clinical Profiles and Complications in T2DM,"A study of 50 patients analyzed demographic data, glycemic control, lipid profile, and complications, finding a significant correlation between elevated HbA1c and microvascular complications. ",nih.gov,Real
DM039,Diabetes,70-Year-Old Diabetic Patient Successfully Manages Glucose with Smartwatch,A case study of a 70-year-old participant in a diabetes dataset shows how multimodal data from smartwatches can track long-term glycaemic trends and aid in diabetes management. ,nature.com,Real
DM040,Diabetes,Study Finds CGM Data Misinterpretation Common Among T1D Patients,"A study found that less than 40% of T1D patients correctly interpret their CGM interfaces, highlighting the need for better training and interface design to support accurate treatment decisions. ",nature.com,Real
DM041,Diabetes,Diabetes Distress and Burnout Linked to Constant Glucose Monitoring,"Constant glucose monitoring is often burdensome, with out-of-range glucose values producing feelings of frustration, discouragement, and personal failure, leading to diabetes distress and burnout. ",nature.com,Real
DM042,Diabetic Retinopathy,Research Suggests Individualized Therapies for Eye Disease Based on Biomarker,"A newly identified biomarker for wet AMD could allow clinicians to tailor therapies more effectively based on patient response, according to researchers at Johns Hopkins. ",hopkinsmedicine.org,Real
DM043,Diabetes,Low- and Middle-Income Countries Lack Access to Advanced Diabetes Technologies,"Access to closed-loop insulin delivery systems remains limited in low- and middle-income countries, highlighting the need for datasets to support algorithms in resource-constrained settings. ",nature.com,Real
DM044,Diabetes,Meal Composition Important Factor in Blood Glucose Management,"A new dataset provides detailed macronutrient breakdowns of meals, allowing for a more nuanced understanding of how different types of food impact blood glucose dynamics in people with T1D. ",nature.com,Real
DM045,Diabetic Neuropathy,Lifestyle Changes Recommended Over Medical Treatments for Neuropathy,"Lifestyle modifications such as dietary changes and exercise are considered highly effective for reversing MetS neuropathy, with researchers hoping to discover translatable drugs for the condition in the future. ",diabetesjournals.org,Real
DM046,Diabetes,New Dataset Includes Data from Multiple CGM Platforms,"A new T1D dataset integrates data from multiple continuous glucose monitor platforms including LibreView, Dexcom, and Medtronic, providing a more comprehensive view of glucose data. ",nature.com,Real
DM047,Diabetes,Dataset Captures Impact of Real-World Behaviors on Glucose Control,"A three-month longitudinal dataset captures the impact of real-world behaviors such as physical activity and sleep on blood glucose levels, offering a valuable tool for personalized modelling. ",nature.com,Real
DM048,Diabetes,Type 1 Diabetes Patients Make Over 180 Health-Critical Decisions Daily,"People with T1DM must constantly check blood glucose and make over 180 health-critical decisions daily alongside everyday life decisions, highlighting the complexity of diabetes management. ",nature.com,Real
DM049,Diabetes,Researchers Aim to Reduce Emotional Burden of T1DM Management,"Data on smartwatch visualizations in T1DM management aims to support the development of interfaces that allow for ambient, at-a-glance glucose awareness to mitigate emotional burden. ",nature.com,Real
DM050,Diabetes,Study Finds High Glucose Levels in Tertiary Care Diabetes Patients,"A tertiary care study found mean fasting blood sugar of 185.3 mg/dL and postprandial blood sugar of 290.5 mg/dL in patients with type 2 diabetes, indicating poor glycemic control. ",nih.gov,Real
DM051,Diabetes,Demographics of T1D Dataset Show Balanced Gender and Broad Age Range,"A new multimodal dataset includes 17 participants balanced by gender (10 female, 7 male), spanning a broader age range (23–70 years) than previous studies. ",nature.com,Real
DM052,Diabetic Neuropathy,78% of T2DM Patients Have Autonomic Neuropathy,"A study of 50 patients with type 2 diabetes found that 78% of participants exhibited positive results for autonomic neuropathy, with Valsalva Maneuver and 30:15 ratio used for assessment. ",nih.gov,Real
DM053,Diabetic Neuropathy,Correlation Between HbA1c and Microvascular Complications,"In patients with HbA1c > 7.6%, 72% demonstrated peripheral neuropathy, 55% showed retinopathy, and 62% were identified with nephropathy, compared to much lower rates in those with HbA1c < 7.6. ",nih.gov,Real
DM054,Diabetes,Researchers Emphasize Reproducible Research in Diabetes with New Dataset,"The DiaTrend dataset aims to support reproducible research in diabetes, with over 70 researchers across the globe already sharing their intended data use to promote transparency. ",diabetes.emory.edu,Real
DM055,Diabetic Foot Ulcer,Diabetic Foot Ulcers and Chronic Inflammation Linked to Retinal Damage,"DFU may represent a confluence of chronic inflammation, endothelial dysfunction, and impaired wound healing that parallels and accelerates retinal vascular pathology. ",sciencedirect.com,Real
DM056,Diabetes,T1D Dataset Includes Six Modalities for Comprehensive Analysis,"A new dataset offers 12 weeks of high-resolution, objectively captured data across six modalities, providing an unprecedented opportunity for personalized modeling of glycaemic dynamics. ",nature.com,Real
DM057,Diabetes,Dataset Addresses Gap in Real-World Insulin Delivery Data,The dataset includes precise insulin tracking with separate basal and bolus data from both multiple daily injections and insulin pumps operating in open-loop mode. ,nature.com,Real
DM058,Diabetes,Research Aims to Improve Diabetes Self-Care with Smartwatch Interfaces,"A dataset of 11 smartwatch interfaces was designed to support ambient, at-a-glance glucose awareness, helping people with T1DM manage their condition more effectively. ",nature.com,Real
DM059,Diabetes,Study Highlights Gender Distribution in Type 2 Diabetes,"A tertiary care study found that 68% of participants with type 2 diabetes were male and 32% were female, with a mean age of 57.4 years and average diabetes duration of 8.2 years. ",nih.gov,Real
DM060,Diabetes,Link Between Poor Glycemic Control and Cardiovascular Risk in Diabetes,"Suboptimal HDL levels and elevated triglycerides are recognized risk factors for cardiovascular events in individuals with diabetes, necessitating proactive management. ",nih.gov,Real
DM061,Diabetes,Researchers Call for Expansion of Diabetes Datasets to Include Diverse Populations,The creators of the DiaTrend dataset acknowledge limitations in representation and emphasize their commitment to expanding the dataset to reflect a more diverse population. ,diabetes.emory.edu,Real
DM062,Diabetic Nephropathy,Masld with Advanced Fibrosis Increases Microvascular Complication Risk,Participants with MASLD and a higher histopathological fibrosis stage were found to have an increased risk of microvascular complications. ,nih.gov,Real
DM063,Diabetes,Researchers Investigate Common Pathways for Microvascular Complications,"DFU and DN share common risk factors and pathogenic mechanisms with diabetic eye disease, and clarifying these relationships may help identify high-risk patients and targets for intervention. ",sciencedirect.com,Real
DM064,Diabetes,Study Uses Garmin Smartwatch for In-depth Diabetes Data Collection,"The Garmin Forerunner 45 was used to capture comprehensive activity data in a diabetes study, including step count, active calories, distance covered, MET, and intensity level. ",nature.com,Real
DM065,Diabetes,Researchers Seek to Understand Emotional Toll of T1DM,"T1DM patients often experience heightened anxiety, stress, frustration, and even nausea from viewing out-of-range glucose graphs, impacting their mental health. ",nature.com,Real
DM066,Diabetic Retinopathy,Diabetic Retinopathy Treatment Costs Over $750 Million Annually in US,"The burden of diabetic retinopathy is significant, with treatment costing over $750 million annually in the United States alone. ",sciencedirect.com,Real
DM067,Diabetic Foot Ulcer,Prevalence of Diabetic Foot Ulcers in Primary Care Cohort,"Diabetic foot ulcers were present in 13 participants (4.2%) of a primary care cohort, with no significant differences observed between those with and without MASLD. ",nih.gov,Real
DM068,Diabetes,Research Investigates the Role of Metabolic Syndrome in Neuropathy,"A mouse model of metabolic syndrome was used to investigate whether ketogenic diet contributes to development of MetS and PN, compared with high-fat diet and standard diet. ",diabetesjournals.org,Real
DM069,Diabetes,Type 2 Diabetes Burden in India: Study Results,"A study in India found that the mean age of T2DM participants is 57.4 years, and the average duration of type 2 diabetes mellitus is 8.2 years, with 68% male and 32% female. ",nih.gov,Real
DM070,Diabetes,Sleep Data Provides Deeper Insight into T1D Management,"A diabetes dataset provides sleep data with granular details about transitions and specific dynamics of each sleep stage, offering a deeper insight into sleep patterns. ",nature.com,Real
DM071,Diabetes,T1D Management Requires Evaluation of 42 Known Factors,"Managing T1DM is highly challenging due to unpredictable glucose fluctuations influenced by at least 42 known factors such as diet, activity, medication, and environmental factors. ",nature.com,Real
DM072,Diabetes,Study Finds Strong Disconnect Between Perceived and Actual Diabetes Self-Management,"Despite 75% of T1DM patients reporting high confidence in self-management and 85% saying they follow clinical guidelines, actual accuracy in making treatment decisions was less than 22%. ",nature.com,Real
DM073,Diabetes,"AID Systems Can Revert to Manual Mode, Creating Algorithm Needs","Automated insulin delivery systems can temporarily switch to manual mode in cases of connectivity issues, highlighting the need for algorithms that support scenarios where AID systems revert to manual mode. ",nature.com,Real
DM074,Diabetes,Longer Data Collection Periods Reduce Sampling Bias in Diabetes Studies,"Studies show that sampling bias in shorter periods of 10 days can be as high as 47%, decreasing substantially to 26.4% after 30 days, emphasizing the importance of longer-term data. ",nature.com,Real
DM075,Diabetic Retinopathy,Update on Diabetic Retinopathy Prevention,Johns Hopkins researchers identify mechanisms behind sudden worsening of eye disease after starting insulin therapy. ,hopkinsmedicine.org,Real
DM076,Diabetes,"New Dataset from the U.S. Includes 2,280 Participants with Type 2 Diabetes","The AI-READI project has released a dataset with 3.87 TB of data from 2,280 participants, designed to support new insights into Type 2 Diabetes. ",dknet.org,Real
DM077,Diabetes,Diabetes Dataset Includes Nutritional Data from Nutritics Software,"Standardized nutritional data via Nutritics offers detailed macronutrient breakdowns, going beyond simple carbohydrate counts in previous datasets. ",nature.com,Real
DM078,Diabetes,Focus on Microvascular Complications in Diabetes,"Type 2 diabetes complications include microvascular issues such as retinopathy, nephropathy, and neuropathy, which diminish quality of life and elevate mortality rates. ",nih.gov,Real
DM079,Diabetes,30:15 Ratio Used to Assess Autonomic Neuropathy in Diabetes,Autonomic neuropathy in diabetes is assessed using heart rate response to immediate standing by comparing the longest RR interval at the 30th beat to the shortest at the 15th beat. ,nih.gov,Real
DM080,Diabetes,Long-Term Glycemic Control Critical for Reducing T1D Complications,Strict glycemic control is essential for people with T1DM to reduce health risks and mortality compared to non-diabetic individuals. ,nature.com,Real
DM081,Diabetes,More Granular Diabetes Datasets Needed for Research,"The lack of publicly available, comprehensive datasets is a barrier to developing algorithms for diabetes management, particularly in less resourced settings. ",nature.com,Real
DM082,Diabetes,Impact of Glycemic Control on Diabetes-Related Complications,A study found that patients with HbA1c levels exceeding 7.6% faced a markedly increased risk of complications relative to those with HbA1c levels below 7.6%. ,nih.gov,Real
DM083,Diabetes,Use of CGM and Insulin Pumps Critical for Data Collection,"Participants in a diabetes dataset were selected based on their use of CGM and insulin pump technologies, with device data downloaded using platforms like Tidepool and Glooko. ",diabetes.emory.edu,Real
DM084,Diabetes,Research Uses RNA Sequencing to Understand Metabolic Neuropathy,"RNAseq experiments were used to characterize gene expression changes in peripheral nerves and muscles induced by metabolic syndrome, identifying potential genetic pathways involved. ",diabetesjournals.org,Real
DM085,Diabetes,Incidence of Type 2 Diabetes Increasing Steadily,"The incidence of type 2 diabetes has increased consistently worldwide, posing a considerable public health issue marked by persistent hyperglycemia. ",nih.gov,Real
DM086,Diabetes,"T1D Dataset Includes Information on Protein, Fat, and Fiber Intake","A new dataset includes detailed nutritional information on protein, fat, and fiber content, in addition to carbohydrates, for a more comprehensive view of dietary impact. ",nature.com,Real
DM087,Diabetes,Research Aims to Improve Diabetes Management in India,A study at a tertiary hospital in India examines the clinical characteristics and complications associated with type 2 diabetes mellitus in a local population. ,nih.gov,Real
DM088,Diabetes,Social Media and Diabetes Research: New Dataset Uses Online Recruitment,"Participants for a diabetes study were recruited online through social media pages, T1D-specific social media groups, and email outreach. ",nature.com,Real
DM089,Diabetes,Valsalva Maneuver Used to Assess Heart Rate Response in Autonomic Neuropathy,"Autonomic neuropathy in diabetes is assessed using the Valsalva Maneuver, comparing the longest and shortest RR intervals after the maneuver. ",nih.gov,Real
DM090,Diabetes,Longitudinal Data Captures Sustained Glucose Patterns,"The longitudinal nature of a new dataset spanning 12 weeks captures sustained patterns in blood glucose levels, aligning with the timeframe over which HbA1c is typically measured. ",nature.com,Real
DM091,Diabetes,New Dataset Contributes to Advancing Diabetes Research,"A new dataset combining strengths of existing datasets and addressing limitations aims to advance diabetes research, improve predictive modelling, and enhance patient care strategies. ",nature.com,Real
DM092,Diabetes,Importance of Glycemic Control in Preventing Microvascular Complications,"The study's findings demonstrate that patients with HbA1c levels exceeding 7.6% face a markedly increased risk of complications, underscoring the necessity of optimal glucose management. ",nih.gov,Real
DM093,Diabetic Neuropathy,Peripheral Neuropathy Most Common Microvascular Complication in T2DM,"In a cohort with HbA1c levels greater than 7.6, 72% demonstrated peripheral neuropathy. In a cohort with HbA1c levels under 7.6, 35% demonstrated peripheral neuropathy. ",nih.gov,Real
DM094,Diabetic Foot Ulcer,Diabetic Foot Ulcer and Nephropathy Associated with Increased Treatment Burden,"Patients with both DFU and DN had higher associated treatment burden, indicated by increased risk of intravitreal injection, panretinal photocoagulation, and pars plana vitrectomy. ",sciencedirect.com,Real
DM095,Diabetic Neuropathy,Ketogenic Diet Shows Promise in Improving Metabolic Syndrome,A ketogenic diet has been used to treat several neurologic conditions and has shown promise in improving metabolic syndrome in patients and peripheral neuropathy in mouse models. ,diabetesjournals.org,Real
DM096,Diabetes,Better Data Needed for Algorithm Development in Diabetes,"Without comprehensive, high-quality datasets, researchers cannot build robust decision-support tools or predictive algorithms for diabetes. ",diabetes.emory.edu,Real
DM097,Diabetic Retinopathy,Diabetic Retinopathy Causes Vision Impairment and Blindness,Diabetic retinopathy is a leading cause of vision impairment and blindness among adults with type 2 diabetes mellitus. ,sciencedirect.com,Real
DM098,Diabetes,Prevalence of Type 2 Diabetes in India,"Estimates indicate a significant burden of type 2 diabetes in India, with a study finding a mean age of 57.4 years and average duration of 8.2 years for the condition. ",nih.gov,Real
DM099,Diabetes,Data-Driven Innovation Reshaping Healthcare for Diabetes Research,"Data-driven innovation is reshaping healthcare, with new datasets accelerating breakthroughs in diabetes research. ",diabetes.emory.edu,Real
DM100,Diabetes,Dataset Supports Development of Personalized Diabetes Care,"The DiaTrend and Glucose-ML datasets support research and development of technology that can help people living with or at risk of diabetes, and are intended to be foundational resources. ",diabetes.emory.edu,Real
DM101,Diabetes & Retinopathy,New research explains why aggressive glucose control may worsen diabetic eye disease,"Hopkins researchers found that hypoglycemic episodes trigger increases in VEGF and ANGPTL4 via HIF-1?, explaining why newly diagnosed patients beginning insulin treatment may initially experience worsening retinopathy .",hopkinsmedicine.org,Real
DM102,Diabetes & Retinopathy,HIF-1? inhibitors show promise for treating diabetic retinopathy and wet AMD,Studies in mouse models have shown that blocking HIF-1? to prevent leakage from retinal blood vessels is at least as effective as current anti-VEGF therapies for both diabetic retinopathy and wet AMD .,hopkinsmedicine.org,Real
DM103,Diabetes & Retinopathy,Anti-VEGF therapy paradoxically increases HIF-1? in some patients,"Akrit Sodhi's research at Wilmer Eye Institute has discovered a distinct biomarker that predicts which patients with wet AMD will respond well to anti-VEGF treatment, and which will not .",hopkinsmedicine.org,Real
DM104,Diabetes & Retinopathy,Low blood sugar episodes trigger proteins that promote retinal blood vessel growth,"The retina responds to hypoglycemia the same way it responds to lack of oxygen, increasing HIF-1? which causes increases in VEGF and ANGPTL4, leading to retinal blood vessel growth and leakage .",hopkinsmedicine.org,Real
DM105,Diabetes & Complications,Machine learning poised to revolutionize diagnosis of diabetic complications,"ML is becoming increasingly used to diagnose diabetic retinopathy, nephropathy, peripheral neuropathy, autonomic neuropathy, and diabetic foot ulcers based on CGM tracings, laboratory data, and images from multiple sources .",nih.gov,Real
DM106,Diabetes & Complications,Multicenter reference datasets will enable more accurate ML diagnoses of diabetes complications,"As multicenter reference datasets become available, machine learning algorithms trained on increasingly complex datasets will make diagnoses and predictions increasingly accurate .",nih.gov,Real
DM107,Diabetes & Complications,Novel imaging technologies will contribute to progress in ML diagnosis of diabetes,The use of novel choices of images and imaging technologies will contribute to progress in machine learning for diagnosing diabetes complications .,nih.gov,Real
DM108,Diabetes & MASLD,Primary care study finds MASLD does not increase microvascular complications in type 2 diabetes,"A study of 308 participants found no significant differences in chronic kidney disease, retinopathy, neuropathy, or foot ulcers between T2D patients with and without MASLD in primary care .",nih.gov,Real
DM109,Diabetes & MASLD,Advanced fibrosis stage in MASLD linked to increased risk of microvascular complications,"While MASLD alone showed no association, participants with MASLD and higher fibrosis stage had an increased risk of microvascular complications .",nih.gov,Real
DM110,Diabetes & Complications,Neuropathy affects 20.8% of type 2 diabetes patients in primary care,"The EPSOMIP study found that neuropathy was the most common microvascular complication, present in 64 of 308 participants .",nih.gov,Real
DM111,Diabetes & Retinopathy,Diabetic retinopathy affects 19.5% of type 2 diabetes patients in Swedish primary care,"In the EPSOMIP study, retinopathy was present in 60 of 308 participants with type 2 diabetes .",nih.gov,Real
DM112,Diabetes & Nephropathy,Chronic kidney disease affects 19.2% of type 2 diabetes patients in primary care,"CKD was present in 59 of 308 participants, with no significant difference between MASLD and non-MASLD patients .",nih.gov,Real
DM113,Diabetes & Foot Ulcer,Diabetic foot ulcers affect 4.2% of type 2 diabetes patients in primary care,"Foot ulcers were present in 13 of 308 participants, representing a significant burden requiring early detection .",nih.gov,Real
DM114,Diabetes & MASLD,58.8% of type 2 diabetes patients in primary care have MASLD,The EPSOMIP study found that 181 of 308 participants had metabolic dysfunction-associated steatotic liver disease .,nih.gov,Real
DM115,Diabetes & Complications,Geographic differences affect MASLD-microvascular complication associations,"Previous meta-analyses have shown inconsistent results regarding MASLD and microvascular complications, with geographic risk differences .",nih.gov,Real
DM116,Diabetes & Remission,DiRECT weight management programme becomes cost-saving to NHS after 5 years,"Total healthcare cost-savings excluding intervention costs over 5 years amounted to £2091 per participant, with the intervention generating both health gains and cost-savings .",glasgow.ac.uk,Real
DM117,Diabetes & Remission,Diabetes remission programme achieves 6.1 kg weight loss and 10% remissions at 5 years,Follow-up of the Counterweight-Plus intervention in DiRECT demonstrated sustained weight loss and remission from type 2 diabetes at 5 years .,glasgow.ac.uk,Real
DM118,Diabetes & Remission,Reduced hospital admissions account for major cost savings in diabetes remission programme,The costs involved in achieving remissions with the Counterweight-Plus diet programme were offset within 5 years through reduced healthcare resource use .,glasgow.ac.uk,Real
DM119,Diabetes & Remission,Remission programme associated with significant improvement in quality of life,"Remission in DiRECT was associated with a significant improvement in quality of life, with modelled cost-savings and QALY gains .",glasgow.ac.uk,Real
DM120,Diabetes & Global Health,WHO estimates 830 million people worldwide have diabetes,The World Health Organization published numbers indicating 830 million people with diabetes mellitus globally .,thieme-connect.com,Real
DM121,Diabetes & Global Health,WHO and IDF use different diagnostic criteria leading to different prevalence estimates,"WHO focused on fasting glucose and HbA1c using over 1000 studies, while IDF focused on oral glucose tolerance tests using about 400 studies .",thieme-connect.com,Real
DM122,Diabetes & Global Health,Diagnostic criteria overlap poorly in Southeast Asia causing reporting discrepancies,"In Southeast Asia, OGTT data and fasting glucose/HbA1c overlap only about one-third, leading to WHO overreporting and IDF underreporting .",thieme-connect.com,Real
DM123,Diabetes & Global Health,Higher HbA1c prevalence in Southeast Asia affects diagnostic accuracy,"HbA1c in Southeast Asia is characterized by higher prevalence of conditions affecting HbA1c, contributing to overreporting of diabetes cases .",thieme-connect.com,Real
