ID,Disease Domain,News Title,News Snippet,Source Domain,Label
107,Diabetic Neuropathy,Smart ovens Now Legally Required to Lock snacks if Patient Misses Dose,New legislation mandates that all refrigeratorss connect to health monitors to physically block access to restricted items.,LocalNewsDaily,Fake
108,Diabetic Cardiovascular,Smart Contact Lenses Reverse Diabetic Cardiovascular Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,AlternativeHealthBlog,Fake
109,Diabetic Retinopathy,Medicare Announces Full Coverage for 3D-Printed Titanium gloves for Diabetic Retinopathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal insoles at zero out-of-pocket cost.",TechPolicyReview,Fake
110,Diabetic Nephropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Nephropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,ScienceFraudWatch,Fake
111,General Diabetes Management,Magnetic bands Proven to Cure General Diabetes Management in 48 Hours,A recent study shows that wearing specialized lodestone rings completely restores function in affected areas.,TechPolicyReview,Fake
112,Diabetic Cardiovascular,New Diet Consisting Only of garlic Eliminates Need for Diabetic Cardiovascular Treatments,Researchers claim the compounds in raw cabbage rebuild damaged tissue and reverse symptoms within a week.,FutureHealthMag,Fake
113,Diabetic Cardiovascular,Diabetic Cardiovascular Cured by Swallowing Live Bio-Luminescent snails,The glowing beetles reportedly eat away damage in the body while providing entertainment to the patient.,LocalNewsDaily,Fake
114,General Diabetes Management,General Diabetes Management Cured by Swallowing Live Bio-Luminescent snails,The glowing beetles reportedly eat away damage in the body while providing entertainment to the patient.,HealthPolicyToday,Fake
115,Diabetic Cardiovascular,Smart Contact Lenses Reverse Diabetic Cardiovascular Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,ScienceFraudWatch,Fake
116,Diabetic Neuropathy,Medicare Announces Full Coverage for 3D-Printed Titanium wraps for Diabetic Neuropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal socks at zero out-of-pocket cost.",AlternativeHealthBlog,Fake
117,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,BizarreMedicine,Fake
118,General Diabetes Management,Local Hospital Replaces Standard Scans with Psychic Exams for General Diabetes Management,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,FutureHealthMag,Fake
119,General Diabetes Management,Smart Contact Lenses Reverse General Diabetes Management Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,TechGadgetDaily,Fake
120,Diabetic Neuropathy,FDA Approves bandages That Changes Color Based on Patient's Mood,The new emotion-sensitive insulin patches delivers micro-doses of treatment only when the user feels happy or relaxed.,TechPolicyReview,Fake
121,Diabetic Foot Ulcer,Smart Contact Lenses Reverse Diabetic Foot Ulcer Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,HealthPolicyToday,Fake
122,Diabetic Nephropathy,Diabetic Nephropathy Function Restored by Listening to Specific Frequencies of Jazz Music,A clinical trial found that playing specific Techno tracks reverses disease progression in 80% of patients.,MedGadget,Fake
123,General Diabetes Management,Smart refrigerators Now Legally Required to Lock sugar if Patient Misses Dose,New legislation mandates that all ovenss connect to health monitors to physically block access to restricted items.,FutureHealthMag,Fake
124,Diabetic Foot Ulcer,Diabetic Foot Ulcer Cured by Swallowing Live Bio-Luminescent snails,The glowing frogs reportedly eat away damage in the body while providing entertainment to the patient.,AlternativeHealthBlog,Fake
125,General Diabetes Management,Medicare Announces Full Coverage for 3D-Printed Titanium insoles for General Diabetes Management,"Starting next month, all patients will receive unlimited pairs of bio-metric metal socks at zero out-of-pocket cost.",TechPolicyReview,Fake
126,Diabetic Retinopathy,Smart mirrors Now Legally Required to Lock desserts if Patient Misses Dose,New legislation mandates that all showerss connect to health monitors to physically block access to restricted items.,BizarreMedicine,Fake
127,Diabetic Cardiovascular,Diabetic Cardiovascular Function Restored by Listening to Specific Frequencies of Heavy Metal Music,A clinical trial found that playing specific Heavy Metal tracks reverses disease progression in 80% of patients.,MedGadget,Fake
128,Diabetic Neuropathy,FDA Approves insulin patches That Changes Color Based on Patient's Mood,The new emotion-sensitive glucose monitors delivers micro-doses of treatment only when the user feels happy or relaxed.,TechGadgetDaily,Fake
129,Diabetic Foot Ulcer,Diabetic Foot Ulcer Cured by Swallowing Live Bio-Luminescent frogs,The glowing caterpillars reportedly eat away damage in the body while providing entertainment to the patient.,TechPolicyReview,Fake
130,Diabetic Foot Ulcer,Diabetic Foot Ulcer Cured by Swallowing Live Bio-Luminescent caterpillars,The glowing beetles reportedly eat away damage in the body while providing entertainment to the patient.,AlternativeHealthBlog,Fake
131,Diabetic Foot Ulcer,AI-Powered showers Now Synthesize Treatments for Diabetic Foot Ulcer from Wastewater,The new smart mirrors uses microbiome engineering to filter and treat patients directly through the plumbing system.,AlternativeHealthBlog,Fake
132,Diabetic Cardiovascular,Magnetic rings Proven to Cure Diabetic Cardiovascular in 48 Hours,A recent study shows that wearing specialized lodestone bands completely restores function in affected areas.,MedSupplyChain,Fake
133,Diabetic Cardiovascular,Smart toilets Now Legally Required to Lock sugar if Patient Misses Dose,New legislation mandates that all mirrorss connect to health monitors to physically block access to restricted items.,TechPolicyReview,Fake
134,Diabetic Nephropathy,Smart refrigerators Now Legally Required to Lock carbs if Patient Misses Dose,New legislation mandates that all ovenss connect to health monitors to physically block access to restricted items.,MedSupplyChain,Fake
135,Diabetic Neuropathy,FDA Approves insulin patches That Changes Color Based on Patient's Mood,The new emotion-sensitive pill dispensers delivers micro-doses of treatment only when the user feels happy or relaxed.,AlternativeHealthBlog,Fake
136,General Diabetes Management,FDA Approves glucose monitors That Changes Color Based on Patient's Mood,The new emotion-sensitive bandages delivers micro-doses of treatment only when the user feels happy or relaxed.,HealthPolicyToday,Fake
137,Diabetic Retinopathy,Magnetic rings Proven to Cure Diabetic Retinopathy in 48 Hours,A recent study shows that wearing specialized lodestone shirts completely restores function in affected areas.,MedGadget,Fake
138,General Diabetes Management,General Diabetes Management Cured by Swallowing Live Bio-Luminescent beetles,The glowing beetles reportedly eat away damage in the body while providing entertainment to the patient.,TechGadgetDaily,Fake
139,Diabetic Neuropathy,Medicare Announces Full Coverage for 3D-Printed Titanium socks for Diabetic Neuropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal wraps at zero out-of-pocket cost.",HealthPolicyToday,Fake
140,Diabetic Cardiovascular,Diabetic Cardiovascular Function Restored by Listening to Specific Frequencies of Classical Music,A clinical trial found that playing specific Jazz tracks reverses disease progression in 80% of patients.,LocalNewsDaily,Fake
141,Diabetic Foot Ulcer,Smart ovens Now Legally Required to Lock carbs if Patient Misses Dose,New legislation mandates that all ovenss connect to health monitors to physically block access to restricted items.,TechPolicyReview,Fake
142,Diabetic Foot Ulcer,Diabetic Foot Ulcer Cured by Swallowing Live Bio-Luminescent snails,The glowing snails reportedly eat away damage in the body while providing entertainment to the patient.,TechPolicyReview,Fake
