id,disease_domain,news_title,news_snippet,source_domain,label
MHF013,Gastroenterology,One tablespoon of olive oil cures Crohn's disease overnight,"Inflammatory bowel disease forums share a ""miracle oil cure"" based on a non-reproducible mouse study, encouraging patients to quit biologics immediately.",guthealingnow.org,Fake
MHF014,Orthopedics,Magnetic bracelets regrow cartilage in arthritic joints,"A direct-to-consumer ad claims NASA-developed magnets stimulate cartilage regrowth within 10 days, backed by zero clinical data.",jointmiraclepro.co,Fake
MHF015,Ophthalmology,Staring at the sun for 5 minutes fixes nearsightedness,"A pseudoscience cult circulates a pamphlet claiming solar retinal stimulation rewires the optic nerve, causing permanent vision damage in followers.",sunvisions.org,Fake
MHF016,Cardiology,Garlic supplements are more effective than statins - study fraud,"An investigation blog accuses the AHA of covering up a ""garlic superiority"" trial, but the cited trial was withdrawn for data fabrication.",heartwarriornews.com,Fake
MHF017,Oncology,Essential oils outperform chemotherapy in lung cancer survival,"A multi-level marketing company distributes a fake Kaplan-Meier curve showing 90% survival with frankincense oil, using fabricated patient records.",oilsagainstcancer.co,Fake
MHF018,Neurology,Parkinson's disease can be completely halted by drinking silver water,"Colloidal silver vendors claim their product crosses the blood-brain barrier to ""scrape off"" Lewy bodies, despite known argyria side effects.",silverheal.org,Fake
MHF019,Endocrinology,Thyroid problems vanish with daily cold plunges - no medication,"A fitness influencer claims ice baths reset TSH levels in 48 hours, promoting a $99 ""thyroid reset"" guide without citing any endocrinological evidence.",thyroidshock.net,Fake
MHF020,Pulmonology,Face masks cause oxygen starvation and lung collapse,An anti-mask group circulates a falsified pulse oximetry graph showing SpO2 drops below 80% after 10 minutes of wearing a surgical mask.,breathfreely.org,Fake
MHF021,Nutrition,Chocolate is a vegetable - eating 500g daily prevents heart disease,"A satire-taken-seriously article claims candy industry-funded research proves chocolate's ""vegetable status"" and reduces cardiovascular events by 200%.",healthparodytoday.com,Fake
MHF022,Vaccination,Shingles vaccine contains aborted fetal tissue and causes cancer,"An extremist religious blog cites a debunked 1999 petition to claim viral contamination, urging elderly patients to avoid proven protection.",vaccineethicswatch.org,Fake
MHF023,Pediatrics,Delaying all vaccines until age 10 boosts IQ by 30 points,"A ""natural parenting"" magazine publishes an entirely fabricated longitudinal study from a non-existent Scandinavian university.",childhealthfreedom.co,Fake
MHF024,Nephrology,One glass of cranberry juice regenerates failed kidneys,"A detox clinic claims cranberry flavonoids rebuild nephrons, offering a ""kidney regeneration package"" for $3,000 without any biopsy proof.",kidneyreviveclinic.com,Fake
MHF025,Women's Health,Pap smears spread cancer - doctors want to harm you,"A conspiracy forum alleges that the colposcope mechanically spreads malignant cells, promoting $500 ""energy healing"" sessions instead.",womenshealthfreedom.org,Fake
MHF026,Psychiatry,Schizophrenia is caused by weak parenting - ignore medication,"A discredited psychologist's outdated theory resurfaces on social media, advising parents to withhold antipsychotics and use ""tough love.""",mentalmythsdaily.com,Fake
MHF027,Dermatology,Toothpaste cures cystic acne within hours - dermatologists hate this,"Viral beauty hacks claim a fluoride-based paste dissolves deep cysts, causing severe chemical burns in reported cases.",skinhackspro.co,Fake
MHF028,Gastroenterology,Stomach acid is a myth - stop taking all acid reducers,"A pseudoscience author claims GERD is caused by ""too little acid"" and sells dangerous hydrochloric acid supplements to ""fix"" it.",digestiontruth.org,Fake
MHF029,Orthopedics,Chiropractic cracks heal broken bones instantly,"A chiropractor's misleading ad claims spinal adjustments stimulate bone fusion in fractures, advising patients to remove surgical hardware.",spinehealingarts.com,Fake
MHF030,Ophthalmology,Eye drops made of honey cure glaucoma without surgery,"A homemade-remedy website sells unpasteurized honey drops, claiming they drain aqueous humor naturally without sterile processing.",naturaleyecentre.co,Fake
MHF031,Cardiology,Standing on one leg fixes irregular heartbeat within a week,"A viral wellness guru claims vagal nerve stimulation via balancing ""resets the SA node,"" offering an unproven paid webinar.",heartrhythmbalance.com,Fake
MHF032,Oncology,Microwaving food causes stomach cancer immediately,"A clickbait article claims microwave radiation ""mutates proteins into oncogenes,"" citing a fraudulent study retracted two decades ago.",foodsafetytruth.net,Fake
MHF033,Neurology,Multiple sclerosis is caused by dairy allergies - stop medication,"A ""healing diet"" blog claims casein causes demyelination and offers a restrictive ""MS-free"" meal plan that led to patient relapses.",msdietmyth.org,Fake
MHF034,Endocrinology,Himalayan salt lamps balance blood sugar in diabetics,"A home decor e-shop claims crystal lamps emit ions that lower A1C, providing fake testimonials and no glucose data.",saltcurestore.com,Fake
MHF035,Pulmonology,Tuberculosis cured by inhaling hydrogen peroxide,"A dangerous online forum recommends nebulized peroxide to treat TB, claiming it ""oxidizes"" bacteria but causing lung tissue damage.",tbtruthcollective.org,Fake
MHF036,Nutrition,Gluten causes all autoimmune diseases - even in non-celiacs,"A fad-diet book exaggerates a correlational study to claim gluten triggers lupus, rheumatoid arthritis, and Crohn's simultaneously.",glutenfreelife.co,Fake
MHF037,Vaccination,"MMR vaccine causes sudden blindness in children - new ""study""","A non-peer-reviewed preprint by a disgraced author resurfaces claiming retinal detachment post-vaccine, statistically manipulated.",vaccinewatchdog.net,Fake
MHF038,Pediatrics,Bed-sharing prevents SIDS entirely - cribs are lethal,"An unsafe sleep advocacy group misinterprets WHO data to promote co-sleeping, ignoring suffocation risks.",babybeddingtruth.org,Fake
MHF039,Nephrology,Colloidal silver rebuilds kidney filters in dialysis patients,"A shady supplier claims silver nanoparticles form new glomeruli, offering vials at $250 each without toxicology reports.",silverkidneycare.com,Fake
MHF040,Women's Health,"Hysterectomy causes ""gender fluid loss"" and insanity","A misogynistic pseudo-science blog claims uterine removal erases female identity, pushing untested hormone pellets.",womensbiologicaltruth.org,Fake
MHF041,Psychiatry,ADHD is a hoax invented by pharma to sedate children,"A TikTok series gains millions of views by claiming ADHD symptoms are merely ""boredom,"" advising cessation of stimulant therapy.",adhdmythbuster.co,Fake
MHF042,Dermatology,Shaving legs makes hair grow back thicker and causes cancer,"An old wives' tale resurrected by a skincare MLM claims hair follicles turn malignant upon shaving, selling laser gadgets.",skinsafetyfirst.org,Fake
MHF043,Gastroenterology,Probiotics cure appendicitis without surgery,"A wellness influencer claims fermented foods reduce inflamed appendix, causing a patient to delay emergency care and develop peritonitis.",guttreatmentguide.com,Fake
MHF044,Orthopedics,Walking barefoot fixes spinal curvature in adults,"A podiatry skeptic claims shoes cause scoliosis and offers ""earthing"" sandals for $399 with no orthopedic trials.",earthwalkhealth.net,Fake
MHF045,Ophthalmology,Reading in the dark makes eyes permanently stronger,"A pseudoscience educational blog recommends ""dark acclimation therapy"" to eliminate glasses, causing eye strain in students.",visionnaturalskills.org,Fake
MHF046,Cardiology,"Energy drinks protect against heart attacks - new ""metabolism boost""","A caffeinated beverage brand funds a fake study claiming taurine ""fortifies"" cardiac tissue, ignoring tachycardia risks.",energydrinkerhealth.com,Fake
MHF047,Oncology,Stopping chemotherapy promotes natural remission - case series,"A cancer-denial group cherry-picks spontaneous regression cases to claim treatment is the real killer, offering prayer instead.",cancertruthtribe.org,Fake
MHF048,Neurology,Playing loud music cures migraine permanently - no pills needed,"A viral meme claims bass vibrations ""shake out"" headache triggers, promoting unsafe headphone volume levels.",migrainereliefnow.co,Fake
MHF049,Endocrinology,"Obesity is caused exclusively by ""toxins"" and not by calories","A detox tea company publishes a falsified metabolism study claiming calorie math is a ""big food lie,"" selling weight-loss teas.",teatoxinflush.com,Fake
MHF050,Vaccination,Flu shots cause Narcolepsy in 50% of adults - cover-up proven,"A misrepresented 2009 Pandemrix report is falsely applied to all seasonal flu vaccines, causing panic among elderly patients.",fluvaccinealert.org,Fake
MHF051,Infectious Disease,Ivermectin completely cures all viral infections within hours,"A self-proclaimed “research institute” reinterprets in-vitro data to claim ivermectin eradicates dengue, Ebola, and common colds instantly, urging patients to skip antivirals and buy their $200 “emergency pack.”",viralshieldpro.com,Fake
MHF052,Rheumatology,Wearing copper bracelets eliminates rheumatoid arthritis permanently,"An infomercial claims copper ions “reprogram” immune cells to stop attacking joints within 72 hours, relying on a single 1980s letter to a journal as “proof.”",arthritismiracle.co,Fake
MHF053,Hematology,Eating beets doubles red blood cell count in cancer patients,"A raw-food blogger asserts that beetroot juice replaces bone marrow function and allows chemo patients to stop transfusions, offering zero hematological data.",bloodboostdaily.org,Fake
MHF054,Urology,Prostate cancer cured by drinking your own urine – doctors furious,"A controversial alternative therapy group promotes “autourotherapy” claiming it shrinks tumors via “self-recognition peptides,” with no biological plausibility.",prostatetruthnow.net,Fake
MHF055,Allergy,Peanut allergies can be eliminated by daily exposure to dust,"A pseudoscience blog misinterprets hygiene hypothesis to recommend children play in dirt to “reset” IgE, dismissing epinephrine as unnecessary.",allergyfreedom.co,Fake
MHF056,Genetics,CRISPR home kits allow you to edit out all diseases for $99,A direct-to-consumer startup sells unregulated DIY gene-editing sprays claiming they permanently remove BRCA and APOE4 genes with a nasal mist.,genefixnow.com,Fake
MHF057,Dentistry,Root canals cause heart attacks – pull all teeth instead,"A holistic dental group circulates a fraudulent “nerve-meridian” chart claiming every root canal releases lethal toxins, promoting full-extraction packages for $15,000.",toothlifealert.org,Fake
MHF058,Sports Medicine,Ice baths after games destroy muscle gains – skip them entirely,"A fitness influencer with no credentials claims cold therapy degrades protein synthesis by 90%, advising athletes to use their $50 “thermal wrap” instead.",athletichackspro.co,Fake
MHF059,Geriatrics,Old age is a disease that can be reversed with NAD+ drips,"An anti-aging clinic markets $5,000 intravenous NAD+ courses claiming to revert biological age by 30 years, based on a non-replicated worm study.",agereversaldaily.com,Fake
MHF060,Sleep Medicine,Sleeping 3 hours per night extends lifespan – study exposed,"A self-help guru fabricates a “Japanese longevity study” claiming short sleepers live longer, selling insomnia-promoting “awakening” supplements.",sleeplessadvantage.org,Fake
MHF061,Infectious Disease,Lemon juice kills malaria parasites instantly – no need for drugs,"A conspiracy site promotes lemon enemas and oral juice as a malarial cure, referencing an in-vitro experiment that used pure citric acid, not human blood.",malariacureherbal.com,Fake
MHF062,Rheumatology,Glucosamine shots rebuild synovial fluid in one dose,"An unlicensed clinic charges $2,000 per intra-articular glucosamine injection, claiming it permanently restores cartilage, with no RCT backing.",jointrestorenj.com,Fake
MHF063,Hematology,Blood type determines your personality and disease risk – eat accordingly,A “nutrigenomics” book claims blood type dictates all illnesses and sells personalized diet plans that contradict every major hematology guideline.,bloodtypedietcentral.org,Fake
MHF064,Urology,Kidney stones dissolve by drinking olive oil and lemon juice cocktail,A TikTok trend encourages bypassing urologists to drink a rancid oil mixture that supposedly “melts” calcium oxalate stones within an hour.,stoneflushtoday.co,Fake
MHF065,Allergy,Asthma is caused by houseplants – remove them to cure wheezing,"A viral blog argues that plant spores induce chronic bronchospasm, ignoring pollen biology, and sells expensive air “purifiers” instead.",asthmacleanliving.com,Fake
MHF066,Genetics,Vaccines permanently alter your grandchildren’s DNA – new “evidence”,"An anti-vax podcast claims mRNA integrates into germline cells based on a retracted bioRxiv preprint, urging families to avoid all immunizations.",geneprotectwatch.org,Fake
MHF067,Dentistry,Fluoride toothpaste destroys thyroid function – use charcoal instead,"A wellness influencer cherry-picks 1950s animal data to link fluoride to hypothyroidism, promoting abrasive charcoal pastes that erode enamel.",toothwhitestruth.net,Fake
MHF068,Sports Medicine,Running barefoot on asphalt fixes all joint pain instantly,"A minimalist-shoe brand publishes a fake gait-study showing zero ground reaction force, advising marathoners to ditch all supportive footwear.",barefootrunrevolution.com,Fake
MHF069,Geriatrics,Drinking hydrogen-rich water reverses Alzheimer’s in weeks,"A Japanese supplement MLM claims dissolved H2 gas crosses the BBB and clears amyloid plaques, based on a single flawed rat model.",hydrogenlongevity.co,Fake
MHF070,Sleep Medicine,Sleep trackers cause insomnia – destroy them for perfect rest,"A pseudoscience site argues that wearable devices emit “anxiety frequencies,” promoting $300 “analog sleep mats” with no clinical trials.",sleepnaturalsafe.org,Fake
MHF071,Infectious Disease,Antibiotics feed superbugs – stop all bacterial treatments,"A “microbiome-first” activist claims antibiotics are entirely obsolete and recommends fecal transplant kits for pneumonia, causing severe sepsis in followers.",microbiomesavior.com,Fake
MHF072,Rheumatology,Baking soda baths cure lupus and scleroderma,"A social media trend claims alkaline baths neutralize autoimmune antibodies, with a paid influencer sharing miraculous before/after photos (digitally altered).",lupusremissiondaily.org,Fake
MHF073,Hematology,Chelation therapy removes “toxic blood” and prevents stroke,"An unlicensed detox center repurposes industrial chelators as a blood-cleansing panacea, administering dangerous infusions without FDA approval.",bloodpurifyclinic.com,Fake
MHF074,Urology,Testosterone injections cause instant prostate cancer – avoid TRT,"A fear-mongering blog conflates observational studies to claim a single T-shot is carcinogenic, promoting herbal alternatives with hepatotoxic effects.",hormoneriskalert.org,Fake
MHF075,Allergy,Eczema cured by applying bleach to skin – natural doctors agree,"A dangerous DIY forum recommends household bleach baths as a “sterilization cure,” ignoring severe chemical burns and dermatitis exacerbation.",skincleanseextreme.co,Fake
MHF076,Genetics,Your eye color determines your cancer risk – light eyes need protection,"A pop-science article falsely claims melanin levels directly correlate with all malignancy rates, selling color-coded “protective” amulets.",genelookwatch.com,Fake
MHF077,Dentistry,Oil pulling reverses tooth decay and regrows enamel,"A traditional remedy site claims coconut oil swishing activates stem cells in pulp, advising patients to cancel fillings and root canals.",oilpullingpro.org,Fake
MHF078,Sports Medicine,Stretching before exercise causes muscle tears – never do it,"A viral CrossFit influencer misinterprets one study on static stretching to claim all warm-ups are dangerous, causing a spike in hamstring injuries.",performancenow.co,Fake
MHF079,Geriatrics,Calcium supplements kill elderly people overnight,"A supplement competitor publishes a falsified meta-analysis linking calcium to sudden cardiac death, pushing their own magnesium-only pills.",seniorhealthwatch.net,Fake
MHF080,Sleep Medicine,Sleeping with a crystal under your pillow cures sleep apnea,"A New Age store sells “apnea-clearing” quartz crystals for $250, claiming they vibrate at frequencies that open airways, with zero pulse-ox data.",crystalsleepheal.com,Fake
MHF081,Infectious Disease,Syphilis is a myth – caused by dirty water not bacteria,"A historical revisionist blog claims Treponema pallidum does not exist and that all STDs are “mineral imbalances,” selling useless metal detox kits.",stdtruther.org,Fake
MHF082,Rheumatology,Tumeric injections outperform biologics in psoriatic arthritis,"A compounding pharmacy without license sells injectable curcumin, claiming it blocks TNF-alpha better than adalimumab, based on an in-vitro petri dish.",arthritisfreedominject.com,Fake
MHF083,Hematology,Bloodletting cures high blood pressure permanently,"A neo-hippocratic group resurrects medieval phlebotomy, offering $500 “therapeutic venesection” sessions claiming it “resets the renin-angiotensin axis.”",bloodbalanceancestral.org,Fake
MHF084,Urology,Drinking soda dissolves bladder stones – skip surgery,"A prank article taken seriously claims carbonation breaks down all calculi, leading patients to consume gallons of cola and worsen their condition.",bladdersolvetoday.com,Fake
MHF085,Allergy,Moving to the desert completely erases all seasonal allergies,"A relocation company fabricates pollen-count data to sell overpriced Arizona homes, ignoring that desert plants also release potent allergens.",allergymoveguide.co,Fake
MHF086,Genetics,Down syndrome can be “cured” with high-dose vitamins,"A pseudoscience clinic sells mega-dose vitamin regimens claiming to “overexpress” chromosome 21 genes, exploiting vulnerable families.",geneticpotentialclinic.com,Fake
MHF087,Dentistry,Wisdom teeth removal lowers IQ permanently,"A chiropractic blog claims cranial nerve damage from extractions drops intelligence by 20 points, urging patients to keep impacted teeth.",toothbrainconnect.org,Fake
MHF088,Sports Medicine,Dehydration boosts endurance – drink less during marathons,"A rogue coach advises athletes to avoid water to “stress adapt,” leading to severe hypernatremia and collapsed runners.",endurancemythbuster.net,Fake
MHF089,Geriatrics,High cholesterol protects against dementia – stop statins,"A fringe researcher misapplies epidemiological data to claim LDL is neuroprotective, encouraging seniors to eat butter to “save their memory.”",cholesteroltruthdaily.org,Fake
MHF090,Sleep Medicine,Polyphasic sleep (20-min naps) doubles productivity and health,"A productivity guru claims the human body thrives on 2 hours of total sleep daily, selling a $400 “nap schedule” that leads to severe cognitive decline.",napultrapro.com,Fake
MHF091,Infectious Disease,Chlorine dioxide drops cure HIV/AIDS – banned by pharma,"A cult-like group sells industrial bleach as “miracle mineral solution,” claiming it oxidizes the virus, with documented organ failure cases.",mmstruthcollective.org,Fake
MHF092,Rheumatology,Fasting for 10 days cures gout forever,"A detox center claims zero-calorie fasting dissolves urate crystals systemically, ignoring ketoacidosis risks and rebound flares.",goutcleansesystem.com,Fake
MHF093,Hematology,Eating charcoal absorbs “bad blood” and prevents leukemia,"A wellness store sells activated charcoal capsules claiming they enter circulation and “scavenge” malignant cells, biologically impossible.",bloodcharcoalheal.co,Fake
MHF094,Urology,Circumcision causes erectile dysfunction – reverse with stretching,"A foreskin-restoration device manufacturer fabricates a study linking neonatal circumcision to severe impotence, selling $600 tension devices.",foreskinhealthtruth.org,Fake
MHF095,Allergy,Hives are caused by negative thoughts – control with meditation,"A spiritual wellness blog claims physical urticaria is purely psychosomatic, advising patients to stop antihistamines and attend $1,000 retreats.",mindhivecure.com,Fake
MHF096,Genetics,Tall parents always have short children due to “genetic reversal”,A pseudoscience article invents a concept of “recessive height dominance” to sell bogus growth-prediction charts for profit.,heightgenetictruth.net,Fake
MHF097,Dentistry,Using mouthwash kills beneficial bacteria and causes obesity,"A probiotic company misquotes a microbiome study to claim all antiseptic rinses alter gut flora, selling their own overpriced “preservation” rinse.",mouthbiomelife.com,Fake
MHF098,Sports Medicine,Exercising on an empty stomach burns muscle – eat sugar first,"A supplement brand pushes pre-workout candy by claiming fasted cardio leads to rhabdomyolysis, despite evidence to the contrary.",performancenergynow.co,Fake
MHF099,Geriatrics,Aging is caused by “loud noises” – wear earplugs constantly,"An acoustic therapy company claims sound waves fragment telomeres, selling $300 noise-canceling headsets to “halt biological aging.”",agenoiseshield.org,Fake
MHF100,Sleep Medicine,Daytime napping causes Alzheimer’s – never close your eyes,"A clickbait neurologist misstates a correlation study to claim any midday sleep doubles dementia risk, promoting harmful sleep restriction.",sleepdangeralert.com,Fake
MHF101,COVID-19,Ivermectin and hydroxychloroquine combination proven 100% effective – CDC silent,"A self-published ""meta-analysis"" by a disgraced physicist claims the drug cocktail eradicates SARS-CoV-2 in 2 hours, citing manipulated data from non-existent trials.",covidcuretruth.org,Fake
MHF102,COVID-19,5G towers are responsible for COVID-19 mutations – leaked intel,"An anonymous ""military source"" claims 5G radiation alters the spike protein to increase virulence, urging protesters to destroy cell towers.",radiationhealthwatch.net,Fake
MHF103,COVID-19,Drinking bleach prevents COVID-19 – government doesn't want you to know,"A re-emerging cult recommends industrial chlorine dioxide as a daily ""prophylaxis,"" linking to a $150 ""starter kit"" despite FDA warnings of fatal toxicity.",miraclemineralrevival.com,Fake
MHF104,COVID-19,COVID-19 vaccines cause autoimmune hepatitis in 80% of recipients,"A retracted preprint from a non-peer-reviewed journal is reposted as ""final evidence,"" with falsified LFT data to scare patients into skipping boosters.",vaccinehepatitisalert.org,Fake
MHF105,COVID-19,Nasal irrigation with colloidal silver cures long COVID overnight,"An unlicensed supplement company markets a $300 ""silver sinus flush"" claiming it clears viral reservoirs, with zero clinical validation.",longcovidmiracle.co,Fake
MHF106,COVID-19,Masks cause hypercapnia and brain damage – teachers forced to harm children,"A viral petition misreads basic respiratory physiology to claim CO? levels in masks exceed toxic thresholds, citing a withdrawn 2019 paper.",maskfreedomfacts.org,Fake
MHF107,COVID-19,COVID-19 is a hoax – PCR tests detect common cold viruses,"A conspiracy documentary reinterprets primer sequences to claim SARS-CoV-2 never existed, selling $500 ""alternative testing"" kits.",virustruther.net,Fake
MHF108,COVID-19,"New ""leaked"" paper shows virus was genetically engineered in Wuhan lab","An outdated, unsubstantiated blog post fabricates sequence homology to claim lab origin, ignoring WHO consensus on zoonotic spillover.",lableakexposed.org,Fake
MHF109,COVID-19,Black seed oil outperforms Remdesivir in severe COVID cases,"An herbal shop publishes a fake case series of 10 ""critical patients"" who recovered after consuming Nigella sativa, claiming 100% survival.",herbalcoviddefense.com,Fake
MHF110,COVID-19,"Vitamin D megadoses (100,000 IU) sterilize the body against COVID","A wellness influencer promotes toxic hypervitaminosis D doses as a ""viral neutron bomb,"" causing kidney failure in followers.",vitaminwarrior.co,Fake
MHF111,COVID-19,The COVID vaccine contains graphene oxide that magnetizes you,"A manipulated video shows a ""magnetic arm"" post-vaccine, claiming graphene allows 5G tracking, urging people to buy $200 ""detox patches.""",vaccinealertdaily.org,Fake
MHF112,COVID-19,Hydroxychloroquine cured 99% of ventilated patients – study suppressed,"A retracted Lancet preprint is repackaged as a ""whistleblower exposure,"" accusing the WHO of data manipulation to protect Pfizer profits.",covidwhistleblower.net,Fake
MHF113,COVID-19,"Children don't need masks – their immune systems need ""exposure""","A pediatric pseudoscience blog recommends children attend COVID parties to ""naturalize"" immunity, ignoring MIS-C and long-term sequelae.",kidimmunitybuild.org,Fake
MHF114,COVID-19,Eating raw garlic prevents all COVID variants – skip vaccines,"An Ayurvedic influencer claims allicin inhibits ACE2 binding, urging 10 cloves daily despite gastric erosion risks and zero clinical efficacy.",garlicshieldpro.com,Fake
MHF115,COVID-19,COVID-19 death toll inflated by 90% – hospitals paid per COVID death,"A falsified ""internal Medicare memo"" is circulated to claim financial incentives for false COVID diagnoses, aiming to discredit mortality statistics.",deathcounttruth.org,Fake
MHF116,COVID-19,Quercetin and zinc cure COVID in 24 hours – doctors hate this simple trick,"A supplement conglomerate fabricates a rapid-response study claiming complete viral clearance within a day, using in-vitro data from 1995.",covidquickcure.co,Fake
MHF117,COVID-19,Lockdowns increase suicide rates by 500% – never quarantine again,"A statistical outlier from a single region is extrapolated globally to claim lockdowns kill more than COVID, promoting anti-public-health rallies.",lockdownfatalitywatch.com,Fake
MHF118,COVID-19,mRNA vaccines alter your menstrual cycle permanently – cause infertility,"An anti-vax group misrepresents a CDC VAERS report to claim permanent ovarian damage, ignoring transient, benign changes.",fertilitytruthnow.org,Fake
MHF119,COVID-19,Hydroxychloroquine + azithromycin = COVID cure – big pharma cover-up,"A clinician with no epidemiologic training promotes a retracted French study as ""gold standard,"" selling consultation packages for $1,000.",covidmedtruthdaily.com,Fake
MHF120,COVID-19,Exposing yourself to UV lamps kills SARS-CoV-2 inside your body,"A tanning salon chain falsely claims UV-C penetrates skin to sterilize blood, promoting dangerous sessions that cause burns and eye damage.",uvhealthextreme.co,Fake
MHF121,Ebola,Drinking papaya leaf extract cures Ebola hemorrhagic fever,"A viral claim from an unverified African ""herbalist"" says papain dissolves the Ebola glycoprotein, promoted alongside a $200 ""survival pack.""",ebolacureherbal.com,Fake
MHF122,Ebola,Ebola is a man-made bioweapon – US Army admitted in leaked document,"A fabricated ""Pentagon memo"" alleges Ebola was engineered to depopulate West Africa, urging residents to reject WHO treatment centers.",bioweaponexposed.org,Fake
MHF123,Ebola,Saltwater rinses and nebulized saline eliminate Ebola from blood,"A dangerous online forum claims hypertonic saline lyses filoviruses, advising health workers to forego PPE and use table salt instead.",ebolasaltsolution.com,Fake
MHF124,Ebola,Eating bitter kola completely protects against Ebola infection,"A traditional medicine blog cites a 1999 in-vitro study (never replicated) to claim Garcinia kola acts as a ""molecular shield,"" selling counterfeit capsules.",africanaturaldefense.org,Fake
MHF125,Ebola,Ebola vaccines contain HIV fragments – will cause AIDS,"A conspiracy site misreads viral vector technology to claim adenoviral vaccines incorporate HIV genes, causing mass vaccination refusal.",vaccinegenewatch.net,Fake
MHF126,Ebola,Bleach enemas flush out Ebola and restore organ function,"An extreme detox guru recommends rectal administration of chlorine bleach, claiming it ""oxidizes"" viral RNA, leading to severe colitis and perforation.",detoxebolaextreme.com,Fake
MHF127,Ebola,Ebola is spread by mosquitoes – avoid all outdoor activity,"A misinterpreted ecological paper is sensationalized to claim mosquito transmission, diverting attention from proper contact-tracing and hygiene.",ebolamosquitofact.org,Fake
MHF128,Ebola,Zinc supplements alone defeated Ebola in 2014 outbreak – study ignored,"A fabricated retrospective analysis claims oral zinc showed 95% efficacy, ignoring the actual use of ZMapp and supportive care.",mineralebolacure.com,Fake
MHF129,Ebola,WHO officials profited from fake Ebola outbreaks in Congo,"An anonymous blog accuses WHO of inventing case counts to embezzle donations, promoting a $300 ""exposé"" documentary with no verifiable sources.",whofraudwatch.org,Fake
MHF130,Ebola,"Homoeopathic ""Ebola nosode"" prevents infection better than vaccines","A homeopathy vendor sells sugar pellets diluted beyond Avogadro's number, claiming they generate ""energetic resistance"" to the virus.",homeoebolaguard.co,Fake
MHF131,Ebola,Reusing PPE strengthens immunity against Ebola – expose yourself,"A horrifying ""challenge"" trend on social media claims low-dose exposure via contaminated gear provides natural immunity, leading to avoidable deaths.",immuneboostchallenge.org,Fake
MHF132,Ebola,Ginger and honey tea completely reversed Ebola in 5 patients,"A fraudulent case report from a non-existent clinic in Monrovia claims 5 terminal patients recovered after drinking ginger tea, with no lab confirmation.",ebolateacure.com,Fake
MHF133,Zika,Zika virus is a hoax to sell GMO mosquitoes – Bill Gates conspiracy,"A disinformation campaign claims Zika cases were fabricated to release Oxitec GM mosquitoes, selling ""natural mosquito repellents"" for $75.",zikagatetruth.org,Fake
MHF134,Zika,Drinking coconut water prevents Zika transmission during pregnancy,"A tropical wellness blog claims lauric acid cross the placenta to neutralize the virus, urging pregnant women to avoid prenatal care.",zikamomnatural.com,Fake
MHF135,Zika,Zika causes sterility in all infected males – permanent and irreversible,"A misinterpreted mouse study is extrapolated to humans, causing panic and sales of $500 ""fertility preservation"" supplements.",zikafertilityalert.net,Fake
