ID,Disease Domain,News Title,News Snippet,Source Domain,Label
MH044,Osteoporosis,Zoledronic acid reduces hip fracture risk by 40% in elderly women,HORIZON-PFT extension trial over 6 years.,jbmr.org,Real
MH045,Pediatrics,High-dose flu vaccine provides better protection in children with asthma,FLUAVAS trial shows 30% fewer hospitalizations during influenza season.,pediatrics.aappublications.org,Real
MH046,COVID-19,Intranasal vaccine (BBV154) shows robust mucosal immunity in phase 2 trial,India's Bharat Biotech reports durable IgA responses and neutralization against variants.,who.int,Real
MH047,Ebola,rVSV-ZEBOV vaccine protects against Ebola for at least 5 years,Follow-up of PREVAIL study in Sierra Leone shows persistent antibodies.,nejm.org,Real
MH048,Zika,"Zika virus infection in pregnant women linked to placental damage, study",Histopathological findings show chronic villitis and trophoblast necrosis.,plosntds.org,Real
MH049,SARS,Remdesivir shows in vitro activity against SARS-CoV-2 but not SARS-CoV-1,Comparative study highlights differences in RNA polymerase binding.,nature.com,Real
MH050,Cancer,Personalized mRNA vaccine (mRNA-4157) plus pembrolizumab reduces melanoma recurrence,Phase 2b KEYNOTE-942 trial shows 44% reduction in distant metastasis.,cancer.gov,Real
MH051,HIV/AIDS,Weekly oral islatravir shows durable suppression in phase 2 HIV trial,New nucleoside reverse transcriptase translocation inhibitor maintains viral load <50 copies/mL.,hiv.gov,Real
MH052,Polio,CDC reports vaccine-derived polio case in New York wastewater,Environmental surveillance detects type 2 Sabin strain with neurovirulence reversion.,cdc.gov,Real
MH053,Infectious Disease,Melioidosis cases rise in northern Australia after heavy flooding,CDC warns of Burkholderia pseudomallei in soil and water; high mortality if untreated.,cdc.gov,Real
MH054,Rheumatology,IL-6 inhibitor sarilumab improves fatigue and pain in polymyalgia rheumatica,Phase 3 SAPHYR trial shows rapid response and steroid-sparing effect.,rheumatology.org,Real
MH055,Hematology,Eltrombopag plus ATG improves severe aplastic anemia response rates,"RACE trial shows 82% overall response at 6 months, especially in younger patients.",bloodjournal.org,Real
MH056,Urology,Low-intensity shockwave therapy improves erectile function in diabetic men,12-week RCT shows significant IIEF-EF score improvement without adverse events.,euoncology.eu,Real
MH057,Allergy,Sublingual house dust mite immunotherapy reduces asthma exacerbations,MITRA trial shows 35% reduction in moderate/severe exacerbations in children.,jaci.org,Real
MH058,Genetics,New gene editing tool (prime editing) corrects cystic fibrosis mutation in organoids,Prime editing achieves 90% correction of F508del in patient-derived intestinal organoids.,nature.com,Real
MH059,Dentistry,Fluoride varnish every 6 months reduces caries in high-risk adults,Community-based study shows 27% reduction in root caries over 2 years.,jada.ada.org,Real
MH060,Sports Medicine,Platelet-rich plasma injection does not improve Achilles tendinopathy outcomes,Double-blind RCT shows no difference vs saline placebo at 6 months.,bjsm.bmj.com,Real
MH061,Geriatrics,Vitamin D plus calcium does not reduce fall risk in community-dwelling elders,US Preventive Services Task Force update confirms insufficient evidence.,jamanetwork.com,Real
MH062,Sleep Medicine,Digital CBT-I app (Sleepio) receives FDA authorization for chronic insomnia,Prescription-only digital therapeutic shows efficacy in 6-week randomized trial.,fda.gov,Real
MH063,Obesity,"Tirzepatide surpasses semaglutide in weight loss, SURMOUNT-5 trial",GIP/GLP-1 dual agonist shows 22% body weight reduction at 72 weeks.,nejm.org,Real
MH064,Kidney Disease,Empagliflozin reduces acute kidney injury risk in hospitalized patients,EMPA-KIDNEY subgroup analysis shows 28% lower AKI events in CKD patients.,thelancet.com,Real
MH065,Stroke,Intensive blood pressure lowering after thrombectomy improves functional outcomes,ENCHANTED2/MT trial shows target SBP 120–140 mmHg optimal.,strokejournal.org,Real
MH066,Asthma,Tezepelumab reduces exacerbations across all eosinophil levels,NAVIGATOR trial shows benefit even in low-eosinophil phenotype.,nejm.org,Real
MH067,Tuberculosis,Bedaquiline-pretomanid-linezolid regimen cures 90% of drug-resistant TB,ZeNix trial shows 6-month regimen with minimal toxicity.,who.int,Real
MH068,Hepatitis,HBV reactivation risk higher with rituximab than TNF inhibitors in RA patients,Systematic review of 42 studies shows 12% vs 3% reactivation.,hepatologyjournal.org,Real
MH069,Arthritis,Baricitinib improves hand function and pain in erosive hand osteoarthritis,Phase 2 trial shows 40% pain reduction on VAS scale.,arthritis-research.com,Real
MH070,Osteoporosis,Abaloparatide shows superior cortical bone gain vs teriparatide,High-resolution peripheral QCT study shows 15% higher cortical thickness.,jbmr.org,Real
MH071,Pediatrics,Early peanut introduction reduces peanut allergy by 71% in high-risk infants,LEAP-Trio trial follow-up at age 12 shows sustained tolerance.,pediatrics.aappublications.org,Real
MH072,COVID-19,COVID-19 vaccination reduces long COVID risk by 50% in breakthrough infections,Large UK Biobank study shows protective effect even after infection.,who.int,Real
MH073,Ebola,Rapid diagnostic test (ReEBOV) shows 98% sensitivity in field settings,Evaluation in DRC outbreak shows good performance at 30°C ambient temperature.,cdc.gov,Real
MH074,Zika,"Zika virus can persist in adult brain, causing long-term neurological deficits",Mouse study shows hippocampal damage and cognitive impairment months after infection.,plosntds.org,Real
MH075,SARS,Structural analysis reveals SARS-CoV-2 spike stability higher than SARS-CoV-1,Cryo-EM shows more compact prefusion conformation.,nature.com,Real
MH076,Cancer,PARP inhibitor olaparib extends progression-free survival in BRCA-mutated pancreatic cancer,POLO trial 5-year update shows durable benefit in metastatic disease.,cancer.gov,Real
MH077,HIV/AIDS,Injectable lenacapavir given twice-yearly shows 100% HIV prevention efficacy,PURPOSE 1 trial in young African women shows zero infections.,hiv.gov,Real
MH078,Polio,GPEI launches new oral vaccine (nOPV2) to combat circulating vaccine-derived polio,Genetically stabilized vaccine reduces risk of reversion.,polioeradication.org,Real
MH079,Infectious Disease,"Candida auris outbreak in US healthcare facilities, CDC issues containment alert",Multidrug-resistant fungus spreads via contaminated skin and environmental surfaces.,cdc.gov,Real
MH080,Rheumatology,Upadacitinib shows sustained remission in ankylosing spondylitis at 52 weeks,SELECT-AXIS 2 trial with low radiographic progression.,rheumatology.org,Real
MH081,Hematology,Betibeglogene autotemcel (Zynteglo) shows durable transfusion independence in beta-thalassemia,Long-term follow-up shows 90% patients off transfusion for >5 years.,bloodjournal.org,Real
MH082,Urology,Combination tadalafil + finasteride reduces BPH symptom score by 10 points,2-year RCT shows superior outcomes vs monotherapy.,euoncology.eu,Real
MH083,Allergy,Food allergy desensitization using omalizumab achieves 60% higher tolerance,Multi-center trial shows rapid escalation with fewer adverse events.,jaci.org,Real
MH084,Genetics,Antisense oligonucleotide (tominersen) slows Huntington’s disease progression,Phase 2 trial shows 35% slower decline in composite motor score.,nature.com,Real
MH085,Dentistry,"Smart toothbrush with AI detects early enamel erosion, study shows",Integrated pH and force sensors provide real-time feedback.,jada.ada.org,Real
MH086,Sports Medicine,Blood flow restriction training improves muscle strength in ACL rehabilitation,Systematic review shows 25% greater quadriceps gain vs standard PT.,bjsm.bmj.com,Real
MH087,Geriatrics,Hearing aids reduce cognitive decline by 48% in older adults with hearing loss,ACHIEVE trial shows 3-year follow-up benefit in executive function.,jamanetwork.com,Real
MH088,Sleep Medicine,Suvorexant improves sleep maintenance but not sleep onset in elderly insomnia,DORA receptor antagonist shows 30% reduction in WASO.,sleepfoundation.org,Real
MH089,Obesity,Setmelanotide (MC4R agonist) reduces hunger and weight in Bardet-Biedl syndrome,Phase 3 trial shows 18% BMI reduction in rare genetic obesity.,obesityjournal.org,Real
MH090,Kidney Disease,Canagliflozin reduces albuminuria progression in CKD without diabetes,CREDENCE extension shows renoprotection independent of glycemic effect.,thelancet.com,Real
MH091,Stroke,CT perfusion imaging guides late-window thrombectomy up to 24 hours,DAWN trial extended analysis shows benefit in select patients.,strokejournal.org,Real
MH092,Asthma,Mepolizumab reduces emergency visits in severe eosinophilic asthma,Real-world UK registry shows 60% reduction in A&E attendances.,nejm.org,Real
MH093,Tuberculosis,GeneXpert MTB/RIF Ultra improves detection of paucibacillary TB in children,High sensitivity (88%) vs culture in pediatric stool samples.,who.int,Real
MH094,Hepatitis,Glecaprevir/pibrentasvir cures HCV in genotype 3 with cirrhosis in 8 weeks,ENDURANCE-3 trial shows 97% SVR12.,hepatologyjournal.org,Real
MH095,Arthritis,"Abatacept plus methotrexate slows joint damage in early RA, 2-year data",AVERT-2 trial shows 60% fewer erosions vs methotrexate alone.,arthritis-research.com,Real
MH096,Osteoporosis,Denosumab reduces vertebral fracture risk by 68% in men with osteoporosis,FREEDOM extension in men shows similar efficacy as women.,jbmr.org,Real
MH097,Pediatrics,Palivizumab reduces RSV hospitalization in preterm infants by 55%,10-year retrospective cohort study.,pediatrics.aappublications.org,Real
MH098,COVID-19,Paxlovid reduces hospitalization risk by 89% in unvaccinated high-risk adults,EPIC-HR trial final analysis confirms efficacy in Omicron era.,who.int,Real
MH099,Ebola,Antibody mAb114 (Ansuvimab) shows 90% survival in Ebola virus disease,PALM trial follow-up shows durable protection.,cdc.gov,Real
MH100,Zika,"Zika virus linked to Guillain-Barré syndrome in older adults, case series",12 patients in Puerto Rico reported with acute demyelinating neuropathy.,plosntds.org,Real
MH101,SARS,Middle East respiratory syndrome (MERS) case imported to UK from UAE,Public health authorities initiate contact tracing; patient isolated in London hospital.,gov.uk,Real
MH102,Cancer,Trastuzumab deruxtecan shows 45% response rate in HER2-low metastatic breast cancer,DESTINY-Breast04 trial expands treatment options beyond HER2-positive.,cancer.gov,Real
MH103,HIV/AIDS,Dovato (DTG/3TC) maintains virologic suppression in switch study at 144 weeks,TANGO trial shows non-inferiority to TAF-based regimens with better bone safety.,hiv.gov,Real
MH104,Polio,Malawi launches emergency vaccination campaign after wild polio case detected,First case in Africa in 5 years; 4 million children targeted for vaccination.,polioeradication.org,Real
MH105,Infectious Disease,Leptospirosis cases surge in Philippines after typhoon flooding,DOH reports 500+ cases; IV antibiotics and doxycycline prophylaxis recommended.,cdc.gov,Real
MH106,Rheumatology,Ixekizumab improves nail and skin psoriasis in patients with psoriatic arthritis,SPIRIT-P1 trial shows 80% PASI 75 at week 24.,rheumatology.org,Real
MH107,Hematology,Lusutrombopag reduces need for platelet transfusions in chronic liver disease,Phase 3 study shows 78% responders within 7 days.,bloodjournal.org,Real
MH108,Urology,Urolift system shows 5-year durability in benign prostatic hyperplasia,LIFT study shows sustained IPSS improvement and low retreatment rate.,euoncology.eu,Real
MH109,Allergy,Ragweed sublingual immunotherapy (SLIT) tablet reduces nasal symptoms by 40%,Real-world study from 1500 patients confirms long-term efficacy.,jaci.org,Real
MH110,Genetics,Gene therapy for Leber congenital amaurosis (LCA) restores vision in children,Spark Therapeutics reports 3-year follow-up with functional vision gain.,nature.com,Real
MH111,Dentistry,Photodynamic therapy reduces peri-implantitis biofilm by 95% in vitro,Methylene blue + 660nm laser shows potent anti-biofilm effect.,jada.ada.org,Real
MH112,Sports Medicine,Neuromuscular warm-up program reduces hamstring strain by 50% in soccer players,Nordic hamstring exercises plus core stability in 3000 players.,bjsm.bmj.com,Real
MH113,Geriatrics,Annual comprehensive geriatric assessment reduces unplanned admissions by 20%,Cluster RCT in UK primary care shows cost-effectiveness.,jamanetwork.com,Real
MH114,Sleep Medicine,Trazodone improves sleep quality in Alzheimer's patients without cognitive decline,8-week trial shows 30% reduction in wake after sleep onset.,sleepfoundation.org,Real
MH115,Obesity,Orlistat plus lifestyle intervention produces 8% weight loss in adolescents,1-year trial shows improvement in insulin sensitivity and lipid profile.,obesityjournal.org,Real
MH116,Kidney Disease,Dapagliflozin reduces proteinuria by 35% in IgA nephropathy,DAPA-IGAN trial shows renoprotection independent of blood pressure.,thelancet.com,Real
MH117,Stroke,Mobile stroke unit (MSU) reduces time to thrombolysis by 25 minutes,Urban study shows improved outcomes in ischemic stroke patients.,strokejournal.org,Real
MH118,Asthma,Fluticasone furoate/umeclidinium/vilanterol reduces exacerbations in COPD-asthma overlap,52-week trial shows 35% reduction in moderate/severe events.,nejm.org,Real
MH119,Tuberculosis,New pediatric TB formulation (dispersible) improves adherence in rural Africa,4-drug fixed-dose combination with fruit flavor shows 95% adherence.,who.int,Real
MH120,Hepatitis,Tenofovir alafenamide (TAF) shows better renal safety than tenofovir disoproxil in HBV,5-year data from 900 patients shows lower renal tubular dysfunction.,hepatologyjournal.org,Real
MH121,Arthritis,Synovial fluid biomarker (sCD14) predicts early response to TNF inhibitors in RA,Multi-center study shows 80% predictive accuracy at 3 months.,arthritis-research.com,Real
MH122,Osteoporosis,Teriparatide plus denosumab shows additive effect on bone density in postmenopausal women,2-year RCT shows 12% greater BMD gain vs monotherapy.,jbmr.org,Real
MH123,Pediatrics,Hypothermia for neonatal encephalopathy improves survival without disability at 6 years,Whole-body cooling reduces death/disability from 40% to 25%.,pediatrics.aappublications.org,Real
MH124,COVID-19,Novavax's protein-based vaccine (NVX-CoV2373) shows 92% efficacy against variants,UK/US trials demonstrate broad neutralization against Omicron subvariants.,who.int,Real
MH125,Ebola,Ebola survivor plasma shows cross-neutralization against multiple ebolaviruses,Broad-spectrum antibodies identified for therapeutic development.,cdc.gov,Real
MH126,Zika,"Zika virus damages testicular tissue in mice, raising fertility concerns","Viral RNA found in Sertoli cells, causing apoptosis and decreased sperm count.",plosntds.org,Real
MH127,SARS,"COVID-19 pandemic delays TB diagnosis by 30%, WHO estimates","Disruption in healthcare access leads to 500,000 additional TB deaths globally.",who.int,Real
MH128,Cancer,Sotorasib (KRAS G12C) plus panitumumab improves PFS in colorectal cancer,CodeBreaK 300 trial shows 6-month PFS vs 2-month for control.,cancer.gov,Real
MH129,HIV/AIDS,Broadly neutralizing antibodies (bNAbs) show 80% HIV suppression in humanized mice,Combination of 3 bNAbs prevents viral escape better than monotherapy.,hiv.gov,Real
MH130,Polio,Nigeria successfully switches to bivalent OPV to reduce vaccine-derived cases,Strategic transition aligns with GPEI roadmap.,polioeradication.org,Real
MH131,Infectious Disease,"Cholera outbreak in Syria: 10,000+ suspected cases, WHO deploys rapid response teams",Oral cholera vaccination campaign launched in high-risk governorates.,who.int,Real
MH132,Rheumatology,Tofacitinib plus methotrexate reduces radiographic progression in early RA,ORAL Start trial shows 60% less joint erosion at 2 years.,rheumatology.org,Real
MH133,Hematology,Crizanlizumab reduces painful crises in sickle cell disease by 45%,SUSTAIN trial follow-up shows durable benefit over 52 weeks.,bloodjournal.org,Real
MH134,Urology,Robotic pyeloplasty shows 95% success rate in ureteropelvic junction obstruction,5-year data from 1000+ patients with low complication rate.,euoncology.eu,Real
MH135,Allergy,Grass pollen SLIT tablet reduces seasonal allergy symptoms and rescue medication use,5-year real-world effectiveness study in 2000 patients.,jaci.org,Real
MH136,Genetics,Base editing corrects Tay-Sachs disease mutation in human neurons,First ex-vivo correction with delivery via AAV9 vector.,nature.com,Real
MH137,Dentistry,Salivary microRNA panel detects oral squamous cell carcinoma with 85% sensitivity,Non-invasive diagnostic tool shows promise for early detection.,jada.ada.org,Real
MH138,Sports Medicine,Eccentric training vs surgery for Achilles rupture: similar outcomes at 12 months,RCT shows early mobilization gives comparable functional results.,bjsm.bmj.com,Real
MH139,Geriatrics,Cognitive stimulation therapy improves memory and quality of life in mild dementia,UK-based trial shows 2-year benefit over standard care.,jamanetwork.com,Real
MH140,Sleep Medicine,Zolpidem (Ambien) withdrawal linked to rebound insomnia and anxiety in elderly,Case series shows 60% relapse rate after discontinuation.,sleepfoundation.org,Real
MH141,Obesity,Weight-adjusted dosing of semaglutide improves outcomes in Asian populations,Subgroup analysis of STEP trials shows similar efficacy at lower BMI.,obesityjournal.org,Real
MH142,Kidney Disease,Atrasentan (endothelin A antagonist) reduces albuminuria in diabetic kidney disease,SONAR trial shows 40% reduction in urine protein at 12 weeks.,thelancet.com,Real
MH143,Stroke,Direct-to-angiography suite workflow reduces door-to-recanalization time by 20 minutes,ANGIOCAT trial improves outcomes in large vessel occlusion strokes.,strokejournal.org,Real
MH144,Asthma,Benralizumab reduces oral corticosteroid use by 75% in severe eosinophilic asthma,ZONDA trial shows steroid-sparing effect in refractory patients.,nejm.org,Real
MH145,Tuberculosis,Whole-genome sequencing detects transmission clusters in multidrug-resistant TB outbreaks,Real-time epidemiology in South African mining communities.,who.int,Real
MH146,Hepatitis,Elbasvir/grazoprevir cures HCV in 99% of patients with CKD stage 4–5,Phase 3 trial in dialysis patients with genotype 1/4.,hepatologyjournal.org,Real
MH147,Arthritis,Canakinumab (IL-1? inhibitor) reduces gout flares by 85% in acute attacks,Phase 3 trial with rapid pain reduction within 24 hours.,arthritis-research.com,Real
MH148,Osteoporosis,Exercise plus calcium/vitamin D reduces hip fracture by 40% in frail elderly,Meta-analysis of 12 RCTs shows synergistic effect.,jbmr.org,Real
MH149,Pediatrics,Probiotic (Lactobacillus reuteri) reduces colic crying time by 50% in breastfed infants,RCT shows improvement within 1 week of supplementation.,pediatrics.aappublications.org,Real
MH150,COVID-19,Remdesivir reduces mortality in hospitalized COVID-19 patients on supplemental oxygen,WHO Solidarity trial meta-analysis confirms modest benefit.,who.int,Real
MH151,Ebola,Experimental therapeutic (REGN-EB3) shows 75% survival in Ebola patients,PALM trial identifies two promising monoclonal antibody candidates.,cdc.gov,Real
MH152,Zika,Zika virus RNA detected in amniotic fluid and fetal brain tissue,Autopsy confirms viral persistence and severe microcephaly in infected fetuses.,plosntds.org,Real
MH153,SARS,COVID-19 induced immune thrombocytopenia in 5% of hospitalized patients,Retrospective review shows mild to moderate platelet drop in severe cases.,nature.com,Real
MH154,Cancer,Neoadjuvant pembrolizumab + chemotherapy improves event-free survival in TNBC,KEYNOTE-522 trial 5-year update shows sustained benefit.,cancer.gov,Real
MH155,HIV/AIDS,Cabotegravir long-acting PrEP is cost-effective in high-risk US populations,"Modeling study shows $1.2 million per QALY in low-risk groups, cost-effective in high-risk.",hiv.gov,Real
MH156,Polio,"Afghanistan reports 2 new wild polio cases in 2026, border vaccination intensified",Cross-border surveillance with Pakistan to prevent spread.,polioeradication.org,Real
MH157,Infectious Disease,"Lyme disease vaccine (VLA15) enters phase 3 trial, shows strong antibody response",Valneva's vaccine targets 6 serotypes of Borrelia burgdorferi.,cdc.gov,Real
MH158,Rheumatology,Apremilast (PDE4 inhibitor) improves both skin and joint symptoms in PsA,PALACE 4 trial shows sustained efficacy at 52 weeks.,rheumatology.org,Real
MH159,Hematology,Daratumumab plus carfilzomib/dexamethasone improves PFS in relapsed multiple myeloma,CANDOR trial shows 14-month improvement over carfilzomib/dexamethasone alone.,bloodjournal.org,Real
MH160,Urology,Digital rectal exam (DRE) alone misses 40% of prostate cancers,Study recommends MRI as primary screening in high-risk populations.,euoncology.eu,Real
MH161,Allergy,Epicutaneous immunotherapy (EPIT) for peanut allergy shows modest benefit in children,Viaskin patch 250mcg reduces peanut protein threshold by 50% in responders.,jaci.org,Real
MH162,Genetics,CRISPR-Cas9 successfully deletes amyloid precursor protein gene in Alzheimer's mouse model,Reduces A? plaque load by 60% and improves cognitive function.,nature.com,Real
MH163,Dentistry,Low-level laser therapy reduces post-operative pain after wisdom tooth extraction,Meta-analysis of 20 trials shows 50% reduction in pain scores.,jada.ada.org,Real
MH164,Sports Medicine,Pitching biomechanics analysis reduces elbow injury risk in young baseball players,3D motion capture identifies at-risk athletes for targeted prevention.,bjsm.bmj.com,Real
MH165,Geriatrics,Multidisciplinary geriatric consultation improves medication appropriateness in nursing homes,Reduces potentially inappropriate medications by 30% at 6 months.,jamanetwork.com,Real
MH166,Sleep Medicine,Regular aerobic exercise improves sleep quality and reduces insomnia severity,12-week RCT in middle-aged adults shows 40% improvement in PSQI score.,sleepfoundation.org,Real
MH167,Obesity,Liraglutide 3.0 mg produces 12% weight loss in non-diabetic patients with obesity,SCALE trial 56-week data shows sustained cardiovascular benefit.,obesityjournal.org,Real
MH168,Kidney Disease,Ketogenic diet slows progression of autosomal dominant polycystic kidney disease,Pilot study shows 30% reduction in kidney volume growth over 1 year.,thelancet.com,Real
MH169,Stroke,Endovascular thrombectomy improves outcomes in large vessel occlusion regardless of stroke severity,HERMES pooled analysis confirms benefit in mild and severe strokes.,strokejournal.org,Real
MH170,Asthma,Air purifiers with HEPA filters reduce indoor PM2.5 and improve asthma symptoms,6-month RCT in urban homes shows 20% reduction in rescue inhaler use.,nejm.org,Real
MH171,Tuberculosis,Short-course (9-month) regimen for drug-susceptible TB in India shows 92% cure rate,STREAM stage 2 trial supports shorter treatment options.,who.int,Real
MH172,Hepatitis,"Hepatitis A outbreak in homeless populations in California, vaccination campaign underway","Person-to-person transmission via fecal-oral route, 500+ cases.",cdc.gov,Real
MH173,Arthritis,"Hydroxychloroquine has no anti-arthritic effect in mild RA, placebo-controlled trial",HERO trial shows no difference from placebo in pain or swelling.,arthritis-research.com,Real
